phenotype,phecode,category,node_name,node_id,score
Cancer of major salivary glands,145.3,neoplasms,Chewing tobacco user,81703003,5
Cancer of major salivary glands,145.3,neoplasms,SCLC - Small cell lung cancer,254632001,2
Cancer of major salivary glands,145.3,neoplasms,"Lumbar radiculopathy, NOS",2415007,1
Cancer of major salivary glands,145.3,neoplasms,Difficulty walking,228158008,1
Cancer of major salivary glands,145.3,neoplasms,Multinodular goiter,237570007,2
Cancer of major salivary glands,145.3,neoplasms,Colitis,64226004,1
Cancer of major salivary glands,145.3,neoplasms,Hypothyroid,40930008,2
Cancer of major salivary glands,145.3,neoplasms,AG - Atrophic gastritis,84568007,1
Cancer of major salivary glands,145.3,neoplasms,Thyroid nodule,237495005,1
Cancer of major salivary glands,145.3,neoplasms,Seborrheic wart,50563003,1
Cancer of major salivary glands,145.3,neoplasms,Female pelvic inflammation,198130006,1
Cancer of major salivary glands,145.3,neoplasms,Airway hyperreactivity,195967001,1
Cancer of major salivary glands,145.3,neoplasms,Decreased vision,7973008,2
Cancer of major salivary glands,145.3,neoplasms,Acromegalia,74107003,1
Cancer of major salivary glands,145.3,neoplasms,Hepatitis B,66071002,1
Cancer of major salivary glands,145.3,neoplasms,Feeling suicidal,225457007,1
Cancer of major salivary glands,145.3,neoplasms,Thyrotoxicosis,90739004,1
Cancer of major salivary glands,145.3,neoplasms,Croaky voice,50219008,4
Cancer of major salivary glands,145.3,neoplasms,Autoimmune lymphocytic chronic thyroiditis,21983002,1
Cancer of major salivary glands,145.3,neoplasms,Hernia of anterior abdominal wall,414396006,1
Cancer of major salivary glands,145.3,neoplasms,Contracture of joint,7890003,1
Cancer of major salivary glands,145.3,neoplasms,Lump on neck,299703001,5
Cancer of major salivary glands,145.3,neoplasms,Anomaly of chromosome,74345006,1
Cancer of major salivary glands,145.3,neoplasms,Dysarthria,8011004,4
Cancer of major salivary glands,145.3,neoplasms,EF - Epileptic fit,246545002,1
Cancer of major salivary glands,145.3,neoplasms,Hyperthyroidism,34486009,2
Cancer of major salivary glands,145.3,neoplasms,Cushing basophilism,190502001,1
Cancer of major salivary glands,145.3,neoplasms,Abdominal colic,9991008,1
Cancer of major salivary glands,145.3,neoplasms,Basedow disease,353295004,1
Cancer of major salivary glands,145.3,neoplasms,Excision of thyroid gland,13619001,1
Cancer of major salivary glands,145.3,neoplasms,Uraemia,44730006,1
Cancer of major salivary glands,145.3,neoplasms,Disease of thyroid gland,14304000,1
Cancer of hypopharynx,149.3,neoplasms,"Head cold, NOS",54150009,3
Cancer of hypopharynx,149.3,neoplasms,Chronic otitis externa,53295002,1
Cancer of hypopharynx,149.3,neoplasms,Sarcoma,424413001,3
Cancer of hypopharynx,149.3,neoplasms,Clinical von Reclinghausen's disease,92824003,1
Cancer of hypopharynx,149.3,neoplasms,Oxyphilic adenocarcinoma,443261008,3
Cancer of hypopharynx,149.3,neoplasms,Hyperhidrosis,312230002,1
Cancer of hypopharynx,149.3,neoplasms,CA - Mouth cancer,363505006,5
Cancer of hypopharynx,149.3,neoplasms,LP - Lichen planus,4776004,1
Cancer of hypopharynx,149.3,neoplasms,Pleurisy,196075003,1
Cancer of hypopharynx,149.3,neoplasms,Callosity,201040000,1
Cancer of hypopharynx,149.3,neoplasms,Lump on neck,299703001,5
Cancer of hypopharynx,149.3,neoplasms,Diabetic retinopathy screening,134395001,1
Cancer of hypopharynx,149.3,neoplasms,"Follicular carcinoma, oxyphilic cell",57596004,3
Cancer of hypopharynx,149.3,neoplasms,Achrochordon,201091002,1
Cancer of hypopharynx,149.3,neoplasms,Bladder diverticulum,197866008,1
Cancer of hypopharynx,149.3,neoplasms,Cardiac ischemia,414795007,1
Cancer of hypopharynx,149.3,neoplasms,Bacterial conjunctivitis,128350005,1
Cancer of hypopharynx,149.3,neoplasms,Nasopharyngeal carcinoma,187692001,4
Cancer of hypopharynx,149.3,neoplasms,CA - Cancer,363346000,5
Cancer of hypopharynx,149.3,neoplasms,Farsightedness,38101003,1
Cancer of hypopharynx,149.3,neoplasms,Squamous cell carcinoma of mouth,307502000,5
Cancer of hypopharynx,149.3,neoplasms,Intestinal perforation,56905009,1
Cancer of hypopharynx,149.3,neoplasms,Thymic carcinoma,128717008,3
Cancer of hypopharynx,149.3,neoplasms,Paraganglioma,302833002,4
Cancer of hypopharynx,149.3,neoplasms,NG - Neoplastic growth,55342001,5
Cancer of hypopharynx,149.3,neoplasms,FTC - Follicular thyroid carcinoma,255028004,3
Cancer of hypopharynx,149.3,neoplasms,Neurilemmoma,189948006,2
Cancer of hypopharynx,149.3,neoplasms,Neoplasm screening,15886004,4
Cancer of hypopharynx,149.3,neoplasms,Alcohol withdrawal delirium,8635005,1
Cancer of hypopharynx,149.3,neoplasms,Abnormal renal function,39539005,1
Cancer of larynx,149.4,neoplasms,VAD - Vascular dementia,56267009,1
Cancer of larynx,149.4,neoplasms,Ventricular pre-excitation with arrhythmia,74390002,1
Cancer of larynx,149.4,neoplasms,MD - Meckel's diverticulum,37373007,1
Cancer of larynx,149.4,neoplasms,Pseudoaneurysm,443089001,2
Cancer of larynx,149.4,neoplasms,Burning sensation,90673000,4
Cancer of larynx,149.4,neoplasms,GBS - Guillain-Barre syndrome,40956001,1
Cancer of larynx,149.4,neoplasms,Cluster headache,193031009,1
Cancer of larynx,149.4,neoplasms,Oral examination,122856003,3
Cancer of larynx,149.4,neoplasms,Malignant neoplasm of lung,93880001,2
Cancer of larynx,149.4,neoplasms,Cancer of skin,372130007,2
Cancer of larynx,149.4,neoplasms,Hypogammaglobulinaemia,119250001,3
Cancer of larynx,149.4,neoplasms,Fasciculation,82470000,2
Cancer of larynx,149.4,neoplasms,AOM - Acute otitis media,3110003,4
Cancer of larynx,149.4,neoplasms,CA - Mouth cancer,363505006,4
Cancer of larynx,149.4,neoplasms,Tumor of mediastinum,94147001,2
Cancer of larynx,149.4,neoplasms,Clinical examination,5880005,3
Cancer of larynx,149.4,neoplasms,"Lumbar radiculopathy, NOS",2415007,1
Cancer of larynx,149.4,neoplasms,Breathlessness lying flat,62744007,3
Cancer of larynx,149.4,neoplasms,Chewing tobacco user,81703003,5
Cancer of larynx,149.4,neoplasms,Hepatic vein thrombosis,38739001,1
Cancer of larynx,149.4,neoplasms,SCLC - Small cell lung cancer,254632001,3
Cancer of larynx,149.4,neoplasms,Chronic meningitis,21664006,1
Cancer of larynx,149.4,neoplasms,Schizophrenia,58214004,1
Cancer of larynx,149.4,neoplasms,Granulomatosis,443138004,1
Cancer of larynx,149.4,neoplasms,CA - Cancer,363346000,4
Cancer of larynx,149.4,neoplasms,Clinical von Reclinghausen's disease,92824003,1
Cancer of larynx,149.4,neoplasms,Neoplasm of lung,126713003,3
Cancer of larynx,149.4,neoplasms,FOM - Frequency of micturition,162116003,1
Cancer of larynx,149.4,neoplasms,Lung mass,309529002,1
Cancer of larynx,149.4,neoplasms,Mediastinal emphysema,16838000,1
Colon cancer,153.2,neoplasms,Neurogenic bladder,398064005,2
Colon cancer,153.2,neoplasms,Feeding poor,299698007,4
Colon cancer,153.2,neoplasms,Disease of thyroid gland,14304000,1
Colon cancer,153.2,neoplasms,Cancer metastatic to liver,94381002,5
Colon cancer,153.2,neoplasms,Paraganglioma,302833002,1
Colon cancer,153.2,neoplasms,Sinusitis,36971009,1
Colon cancer,153.2,neoplasms,"MEA, type 1",30664006,1
Colon cancer,153.2,neoplasms,Comedone,247467008,1
Colon cancer,153.2,neoplasms,Angio-osteohypertrophy syndrome,721105004,1
Colon cancer,153.2,neoplasms,Faecal impaction,44635007,5
Colon cancer,153.2,neoplasms,Abdominal lump,271860004,4
Colon cancer,153.2,neoplasms,Bony metastasis,94222008,4
Colon cancer,153.2,neoplasms,Hepatic tumor,126851005,5
Colon cancer,153.2,neoplasms,BRBPR,405729008,4
Colon cancer,153.2,neoplasms,Clinical von Reclinghausen's disease,92824003,1
Colon cancer,153.2,neoplasms,Darier disease,48611009,2
Colon cancer,153.2,neoplasms,Pain in vagina,38343000,2
Colon cancer,153.2,neoplasms,"Brain damage, NOS",81308009,3
Colon cancer,153.2,neoplasms,Cerebroretinal angiomatosis,46659004,1
Colon cancer,153.2,neoplasms,Breast pain,53430007,1
Colon cancer,153.2,neoplasms,Dyssplenism,58381000,1
Colon cancer,153.2,neoplasms,Flushing,238810007,2
Colon cancer,153.2,neoplasms,Carcinoid heart disease,36222008,2
Colon cancer,153.2,neoplasms,IC - Interstitial cystitis,197834003,3
Colon cancer,153.2,neoplasms,MTC - Medullary thyroid carcinoma,255032005,1
Colon cancer,153.2,neoplasms,Appendectomy,80146002,1
Colon cancer,153.2,neoplasms,Cranial arteritis,400130008,1
Colon cancer,153.2,neoplasms,Merkel cell carcinoma,253001006,2
Colon cancer,153.2,neoplasms,Excision small intestine,107938000,4
Colon cancer,153.2,neoplasms,RP - Retinitis pigmentosa,28835009,2
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Disorder of soft tissue,19660004,4
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Atrophic vaginitis,52441000,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Genital pruritus,267802000,3
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Celioscopy,73632009,3
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Endogenous hypertriglyceridaemia,275598004,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Vulvovaginitis,53277000,2
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Paralysis of vocal cords,302912005,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Inflammation of testis,274718005,2
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Contraceptive method vasectomy,22523008,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Lactic acidosis,91273001,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Infection by Trichomonas,56335008,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Cardiac US scan,40701008,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,ARDS,67782005,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Dysarthria,8011004,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Necrotising cellulitis,52486002,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Vaginal discharge,271939006,2
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Malignant neoplasm of prostate,93974005,5
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Mouth ulcer,26284000,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Episcleritis,815008,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Female pelvic inflammation,198130006,2
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Arthritis of knee,371081002,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Observation of urethral discharge,9957009,2
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Carcinoma of cervix,285432005,4
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Cyst,441457006,3
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Emesis - persistent,196746003,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Amyotrophia,88092000,1
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Itching of vulva,67882000,3
"Malignant neoplasm of rectum, rectosigmoid junction, and anus",153.3,neoplasms,Clap,15628003,3
"Malignant neoplasm of liver, primary",155.1,neoplasms,Glossalgia,30731004,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Chorioamnionitis,11612004,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Excision small intestine,107938000,3
"Malignant neoplasm of liver, primary",155.1,neoplasms,SVT - Supraventricular tachycardia,6456007,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Unexplained weight loss,422868009,5
"Malignant neoplasm of liver, primary",155.1,neoplasms,Pancreatic pseudocyst,111374002,3
"Malignant neoplasm of liver, primary",155.1,neoplasms,Bile stasis,33688009,5
"Malignant neoplasm of liver, primary",155.1,neoplasms,UTI - Urinary tract infection,68566005,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Varices,128060009,5
"Malignant neoplasm of liver, primary",155.1,neoplasms,PSC - Primary sclerosing cholangitis,197441003,5
"Malignant neoplasm of liver, primary",155.1,neoplasms,CCA - Cardiac catheterisation,41976001,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Eye infection,128351009,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,TIPS - Transjugular intrahepatic portosystemic shunt,233445008,5
"Malignant neoplasm of liver, primary",155.1,neoplasms,Burning reflux,16331000,2
"Malignant neoplasm of liver, primary",155.1,neoplasms,Autoimmune lymphocytic chronic thyroiditis,21983002,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Panic attack,225624000,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,CGN - Chronic glomerulonephritis,20917003,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Abnormal bowel habits,88111009,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,Abdominal dropsy,389026000,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,AP - Acute pancreatitis,197456007,3
"Malignant neoplasm of liver, primary",155.1,neoplasms,Sclerosing cholangitis,235917005,5
"Malignant neoplasm of liver, primary",155.1,neoplasms,Transplant procedure,77465005,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,Cobalamin deficiency,190634004,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,CD - Celiac disease,396331005,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,Chronic progressive chorea,58756001,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,ERCP,386718000,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,Carcinoma of gallbladder,372140005,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,Inflammation of pancreas,75694006,4
"Malignant neoplasm of liver, primary",155.1,neoplasms,Blood in stool,2901004,3
"Malignant neoplasm of liver, primary",155.1,neoplasms,Benign retention cyst,79883001,1
"Malignant neoplasm of liver, primary",155.1,neoplasms,Fatty stool,66187002,3
"Malignant neoplasm of liver, primary",155.1,neoplasms,Cyst,441457006,3
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Abdominal lump,271860004,5
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Flushing,238810007,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Bony metastasis,94222008,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Sarcoma,424413001,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Health screening,20135006,2
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Unexplained weight loss,422868009,5
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Palliative care,103735009,3
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Chronic pain,82423001,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Body fluid retention,43498006,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Bile stasis,33688009,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Calculus of kidney,95570007,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Biopsy,86273004,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Pericarditis,3238004,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Lobular carcinoma in situ of breast,109888004,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,CGL - Chronic granulocytic leukaemia,92818009,2
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,CA - Cancer of colon,363406005,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Gasser's syndrome,111407006,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Lesion of nose,301191003,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Sore to touch,247348008,2
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,GU - Gastric ulcer,397825006,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Colon cancer screening,275978004,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,DS - Disseminated sclerosis,24700007,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Colonic polyp,68496003,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,"MEA, type 1",30664006,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Family history of cancer of colon,312824007,4
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Pneumonia,233604007,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Hepatic tumor,126851005,1
"Malignant neoplasm of small intestine, including duodenum",159.2,neoplasms,Human papilloma virus infection,240532009,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Paranoia,48500005,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Excision small intestine,107938000,3
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,GI - Gastrointestinal bleed,74474003,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Colitis gravis,64766004,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,AG - Atrophic gastritis,84568007,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,PSC - Primary sclerosing cholangitis,197441003,4
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,BRBPR,405729008,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Stomatitis,95361005,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,GU - Gastric ulcer,397825006,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Primary hyperoxaluria,17901006,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Pancreatic pseudocyst,111374002,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Hypomagnesaemia,190855004,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Gastroduodenal ulcer,13200003,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Cutaneous squamous cell carcinoma,254651007,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Blood in stool,2901004,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,DOS - Diffuse esophageal spasm,79962008,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,AP - Acute pancreatitis,197456007,4
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,HLTx - Heart lung transplant,32477003,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Inflammation of pancreas,75694006,4
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,MDS - Myelodysplastic syndrome,109995007,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Appendectomy,80146002,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Carcinoma of stomach,372143007,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Acute circulatory failure,27942005,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,ASD - Atrial septal defect,70142008,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Unexplained weight loss,422868009,5
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Neurogenic bladder,398064005,2
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Gastric catarrh,4556007,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,CD - Celiac disease,396331005,1
Malignant neoplasm of gallbladder and extrahepatic bile ducts,159.3,neoplasms,Upper GI - gastrointestinal haemorrhage,37372002,1
Cancer of bronchus; lung,165.1,neoplasms,Pleurisy,196075003,5
Cancer of bronchus; lung,165.1,neoplasms,Bronchial endoscopy,10847001,5
Cancer of bronchus; lung,165.1,neoplasms,EP - Epilepsy,84757009,1
Cancer of bronchus; lung,165.1,neoplasms,Biopsy,86273004,5
Cancer of bronchus; lung,165.1,neoplasms,AA - Alcohol abuse,15167005,2
Cancer of bronchus; lung,165.1,neoplasms,Jaw pain,274667000,1
Cancer of bronchus; lung,165.1,neoplasms,Night sweats,42984000,2
Cancer of bronchus; lung,165.1,neoplasms,MTC - Medullary thyroid carcinoma,255032005,1
Cancer of bronchus; lung,165.1,neoplasms,Pneumonitis,205237003,3
Cancer of bronchus; lung,165.1,neoplasms,Lymphoma,118600007,1
Cancer of bronchus; lung,165.1,neoplasms,Septic sore throat,43878008,1
Cancer of bronchus; lung,165.1,neoplasms,Chewing tobacco user,81703003,5
Cancer of bronchus; lung,165.1,neoplasms,Tumor of mediastinum,94147001,4
Cancer of bronchus; lung,165.1,neoplasms,Foot pain,47933007,1
Cancer of bronchus; lung,165.1,neoplasms,Bruit,70466008,1
Cancer of bronchus; lung,165.1,neoplasms,Observation of urethral discharge,9957009,1
Cancer of bronchus; lung,165.1,neoplasms,Lump on neck,299703001,1
Cancer of bronchus; lung,165.1,neoplasms,"Malignant lymphoma, non-Hodgkin's type",118601006,1
Cancer of bronchus; lung,165.1,neoplasms,Neoplasm screening,15886004,3
Cancer of bronchus; lung,165.1,neoplasms,OM - Osteomyelitis,60168000,1
Cancer of bronchus; lung,165.1,neoplasms,Clinical von Reclinghausen's disease,92824003,2
Cancer of bronchus; lung,165.1,neoplasms,Erythema contagiosum,34730008,1
Cancer of bronchus; lung,165.1,neoplasms,Unexplained weight loss,422868009,5
Cancer of bronchus; lung,165.1,neoplasms,Bone pain,12584003,3
Cancer of bronchus; lung,165.1,neoplasms,OM - Otitis media,65363002,1
Cancer of bronchus; lung,165.1,neoplasms,Discharge of ear,65668001,1
Melanomas of skin,172.11,neoplasms,Achrochordon,201091002,3
Melanomas of skin,172.11,neoplasms,Biopsy,86273004,4
Melanomas of skin,172.11,neoplasms,Waldenstrom's macroglobulinaemia,190818004,2
Melanomas of skin,172.11,neoplasms,FOM - Frequency of micturition,162116003,1
Melanomas of skin,172.11,neoplasms,Proliferative retinopathy due to diabetes mellitus,59276001,1
Melanomas of skin,172.11,neoplasms,CA - Cancer,363346000,4
Melanomas of skin,172.11,neoplasms,Esophageal dysphagia,40890009,1
Melanomas of skin,172.11,neoplasms,Dyssplenism,58381000,1
Melanomas of skin,172.11,neoplasms,Addison's keloid,201048007,2
Melanomas of skin,172.11,neoplasms,Cutaneous squamous cell carcinoma,254651007,5
Melanomas of skin,172.11,neoplasms,Atrophic arthritis,69896004,1
Melanomas of skin,172.11,neoplasms,Lump on neck,299703001,3
Melanomas of skin,172.11,neoplasms,CEA - Carotid endarterectomy,66951008,1
Melanomas of skin,172.11,neoplasms,Oxyphilic adenocarcinoma,443261008,2
Melanomas of skin,172.11,neoplasms,Burning sensation,90673000,1
Melanomas of skin,172.11,neoplasms,AK - Actinic keratosis,46795000,4
Melanomas of skin,172.11,neoplasms,AK - Actinic keratosis,46795000,4
Melanomas of skin,172.11,neoplasms,Sarcoma,424413001,3
Melanomas of skin,172.11,neoplasms,Osteosarcoma,307576001,3
Melanomas of skin,172.11,neoplasms,Postmenopausal,76498008,1
Melanomas of skin,172.11,neoplasms,Sclerosing cholangitis,235917005,1
Melanomas of skin,172.11,neoplasms,Chemical diabetes,9414007,1
Melanomas of skin,172.11,neoplasms,Flushing,238810007,1
Melanomas of skin,172.11,neoplasms,Clinical von Reclinghausen's disease,92824003,1
Melanomas of skin,172.11,neoplasms,Balloon angioplasty of coronary artery,11101003,1
Melanomas of skin,172.11,neoplasms,Agranulocytosis,17182001,1
Melanomas of skin,172.11,neoplasms,Comedone,247467008,3
Melanomas of skin,172.11,neoplasms,Basedow disease,353295004,1
Melanomas of skin,172.11,neoplasms,Central hyperalimentation,225372007,1
Melanomas of skin,172.11,neoplasms,Calcium deficiency disease,5291005,1
Melanomas of skin,172.11,neoplasms,Parasomnia,58690002,1
Melanomas of skin,172.11,neoplasms,Bony metastasis,94222008,5
Melanomas of skin,172.11,neoplasms,Paraganglioma,302833002,1
Melanomas of skin,172.11,neoplasms,Actinic lentigo,72100002,5
Melanomas of skin,172.11,neoplasms,AK - Actinic keratosis,201101007,4
Melanomas of skin,172.11,neoplasms,AK - Actinic keratosis,201101007,4
Basal cell carcinoma,172.21,neoplasms,Augmentation mammoplasty,22890008,1
Basal cell carcinoma,172.21,neoplasms,Pyogenic granuloma,200722003,3
Basal cell carcinoma,172.21,neoplasms,Photosensitivity,90128006,5
Basal cell carcinoma,172.21,neoplasms,Hypertrophy of breast,372281005,3
Basal cell carcinoma,172.21,neoplasms,LV hypertrophy,55827005,3
Basal cell carcinoma,172.21,neoplasms,Medulloblastoma,443333004,2
Basal cell carcinoma,172.21,neoplasms,Neuroblastoma,432328008,2
Basal cell carcinoma,172.21,neoplasms,Closure of patent foramen ovale,41817002,1
