"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category","category_number"
"228","Hemangioma and lymphangioma, any site","228-228.99","Both",1,0,"neoplasms",2
"228.1","Hemangioma of skin and subcutaneous tissue","228-228.99","Both",1,1,"neoplasms",2
"229","Benign neoplasm of unspecified sites","229-229.99","",1,0,"neoplasms",2
"229.1","Benign neoplasm of lymph nodes","229-229.99","Both",1,0,"neoplasms",2
"230","Kaposi's sarcoma","230-230.99","",1,0,"neoplasms",2
"240","Simple and unspecified goiter","240-246.99","",1,0,"endocrine/metabolic",3
"241","Nontoxic nodular goiter","240-246.99","Both",1,0,"endocrine/metabolic",3
"241.1","Nontoxic uninodular goiter","240-246.99","Both",1,1,"endocrine/metabolic",3
"241.2","Nontoxic multinodular goiter","240-246.99","Both",1,1,"endocrine/metabolic",3
"242","Thyrotoxicosis with or without goiter","240-246.99","",1,0,"endocrine/metabolic",3
"242.1","Graves' disease","240-246.99","",1,1,"endocrine/metabolic",3
"242.2","Toxic multinodular goiter","240-246.99","Both",1,1,"endocrine/metabolic",3
"242.3","Exophthalmos","240-246.99","Both",0,1,"endocrine/metabolic",3
"242.31","Thyrotoxic exophthalmos","240-246.99","Both",1,0,"endocrine/metabolic",3
"244","Hypothyroidism","240-246.99","Both",1,0,"endocrine/metabolic",3
"244.1","Secondary hypothyroidism","240-246.99","",1,1,"endocrine/metabolic",3
"244.2","Acquired hypothyroidism","240-246.99","Both",1,1,"endocrine/metabolic",3
"244.3","Iodine hypothyroidism","240-246.99","Both",1,1,"endocrine/metabolic",3
"244.4","Hypothyroidism NOS","240-246.99","Both",1,1,"endocrine/metabolic",3
"244.5","Congenital hypothyroidism","240-246.99","Both",1,1,"endocrine/metabolic",3
"245","Thyroiditis","240-246.99","Both",1,0,"endocrine/metabolic",3
"245.1","Thyroiditis, acute and subacute","240-246.99","Both",1,1,"endocrine/metabolic",3
"245.2","Chronic thyroiditis","240-246.99","Both",1,1,"endocrine/metabolic",3
"245.21","Chronic lymphocytic thyroiditis","240-246.99","Both",1,0,"endocrine/metabolic",3
"246","Other disorders of thyroid","240-246.99","Both",1,0,"endocrine/metabolic",3
"246.2","Thyroid cyst","240-246.99","Both",1,1,"endocrine/metabolic",3
"246.7","Abnormal results of function study of thyroid","240-246.99","Both",0,0,"endocrine/metabolic",3
"249","Secondary diabetes mellitus","249-250.99","",1,0,"endocrine/metabolic",3
"250","Diabetes mellitus","249-250.99","Both",1,0,"endocrine/metabolic",3
"250.1","Type 1 diabetes","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.11","Type 1 diabetes with ketoacidosis","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.12","Type 1 diabetes with renal manifestations","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.13","Type 1 diabetes with ophthalmic manifestations","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.14","Type 1 diabetes with neurological manifestations","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.15","Diabetes type 1 with peripheral circulatory disorders","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.2","Type 2 diabetes","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.21","Type 2 diabetes with ketoacidosis","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.22","Type 2 diabetes with renal manifestations","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.23","Type 2 diabetes with ophthalmic manifestations","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.24","Type 2 diabetes with neurological manifestations","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.25","Diabetes type 2 with peripheral circulatory disorders","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.3","Insulin pump user","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.4","Abnormal glucose","249-250.99","Both",0,0,"endocrine/metabolic",3
"250.41","Impaired fasting glucose","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.42","Other abnormal glucose","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.5","Glycosuria or Acetonuria","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.6","Polyneuropathy in diabetes","249-250.99","Both",1,1,"endocrine/metabolic",3
"250.7","Diabetic retinopathy","250.70-250.79,360-365.99","Both",1,1,"endocrine/metabolic",3
"251","Other disorders of pancreatic internal secretion","251-259.99","Both",1,0,"endocrine/metabolic",3
"251.1","Hypoglycemia","249-259.99","Both",0,0,"endocrine/metabolic",3
"251.8","Abnormality of secretion of glucagon or gastrin","251-259.99","Both",1,1,"endocrine/metabolic",3
"252","Disorders of parathyroid gland","251-259.99","",1,0,"endocrine/metabolic",3
"252.1","Hyperparathyroidism","251-259.99","",1,1,"endocrine/metabolic",3
"252.2","Hypoparathyroidism","251-259.99","Both",1,1,"endocrine/metabolic",3
"253","Disorders of the pituitary gland and its hypothalamic control","251-259.99","",1,0,"endocrine/metabolic",3
"253.1","Pituitary hyperfunction","251-259.99","Both",1,1,"endocrine/metabolic",3
"253.11","Acromegaly and gigantism","251-259.99","Both",1,0,"endocrine/metabolic",3
"253.2","Pituitary hypofunction","251-259.99","Both",1,1,"endocrine/metabolic",3
"253.3","Diabetes insipidus","251-259.99","Both",1,1,"endocrine/metabolic",3
"253.4","Anterior pituitary disorders","251-259.99","Both",1,1,"endocrine/metabolic",3
"253.5","Pituitary dwarfism","251-259.99","Both",1,0,"endocrine/metabolic",3
"253.7","Other disorders of neurohypophysis","251-259.99","Both",1,0,"endocrine/metabolic",3
"254","Diseases of thymus gland","251-259.99","Both",1,0,"endocrine/metabolic",3
"255","Disorders of adrenal glands","251-259.99","",1,0,"endocrine/metabolic",3
"255.1","Adrenal hyperfunction","251-259.99","Both",1,1,"endocrine/metabolic",3
"255.11","Cushing's syndrome","251-259.99","Both",1,1,"endocrine/metabolic",3
"255.12","Hyperaldosteronism","251-259.99","Both",1,1,"endocrine/metabolic",3
"255.13","Medulloadrenal hyperfunction","251-259.99","Both",1,0,"endocrine/metabolic",3
"255.2","Adrenal hypofunction","251-259.99","Both",1,1,"endocrine/metabolic",3
"255.21","Glucocorticoid deficiency","251-259.99","Both",1,0,"endocrine/metabolic",3
"255.22","Mineralocorticoid deficiency","251-259.99","Both",1,0,"endocrine/metabolic",3
"255.3","Adrenogenital disorders","251-259.99","Both",1,1,"endocrine/metabolic",3
"256","Ovarian dysfunction","251-259.99","Female",1,0,"endocrine/metabolic",3
"256.1","Hyperestrogenism","251-259.99","Both",1,0,"endocrine/metabolic",3
"256.4","Polycystic ovaries","251-259.99","Female",1,1,"endocrine/metabolic",3
"257","Testicular dysfunction","251-259.99","Male",1,0,"endocrine/metabolic",3
"257.1","Testicular hypofunction","251-259.99","Male",1,1,"endocrine/metabolic",3
"258","Iatrogenic endocrine disorders","251-259.99","",1,0,"endocrine/metabolic",3
"258.1","Postablative ovarian failure","251-259.99","Female",0,0,"endocrine/metabolic",3
"259","Other endocrine disorders","251-259.99","",1,0,"endocrine/metabolic",3
"259.1","Nonspecific abnormal results of other endocrine function study","251-259.99","Both",1,1,"endocrine/metabolic",3
"259.2","Carcinoid syndrome","251-259.99","Both",0,1,"endocrine/metabolic",3
"259.3","Delay in sexual development and puberty NEC","251-259.99","Both",0,0,"endocrine/metabolic",3
"259.4","Precocious sexual development and puberty NEC","251-259.99","Both",0,0,"endocrine/metabolic",3
"259.8","Polyglandular activity in multiple endocrine adenomatosis","251-259.99","Both",0,1,"endocrine/metabolic",3
"260","Protein-calorie malnutrition","260-264.99","",0,0,"endocrine/metabolic",3
"260.1","Cachexia","260-264.99","Both",0,1,"endocrine/metabolic",3
"260.2","severe protein-calorie malnutrition","260-264.99","Both",1,1,"endocrine/metabolic",3
"260.21","Kwashiorkor","260-264.99","Both",1,0,"endocrine/metabolic",3
"260.22","Nutritional marasmus","260-264.99","Both",1,0,"endocrine/metabolic",3
"260.3","Adult failure to thrive","260-264.99","Both",1,0,"endocrine/metabolic",3
"260.6","Anorexia","260-264.99","Both",0,0,"endocrine/metabolic",3
"260.7","Polyphagia","260-264.99","Both",0,0,"endocrine/metabolic",3
"261","Vitamin deficiency","260-264.99","Both",1,0,"endocrine/metabolic",3
"261.1","Vitamin A deficiency","260-264.99","Both",1,1,"endocrine/metabolic",3
"261.2","Vitamin B-complex deficiencies","260-264.99","Both",1,1,"endocrine/metabolic",3
"261.3","Vitamin C deficiencies","260-264.99","Both",1,1,"endocrine/metabolic",3
"261.4","Vitamin D deficiency","260-264.99","Both",1,1,"endocrine/metabolic",3
"261.41","Rickets or osteomalacia","260-264.99","Both",1,1,"endocrine/metabolic",3
"262","Mineral deficiency NEC","260-264.99","Both",1,0,"endocrine/metabolic",3
"263","Other nutritional deficiency","260-264.99","",1,0,"endocrine/metabolic",3
"264","Lack of normal physiological development","260-264.99","",1,0,"endocrine/metabolic",3
"264.1","Short stature","260-264.99","Both",1,0,"endocrine/metabolic",3
"264.2","Failure to thrive (childhood)","260-264.99","Both",1,1,"endocrine/metabolic",3
"264.3","Delayed milestones","260-264.99","Both",1,0,"endocrine/metabolic",3
"264.9","Lack of normal physiological development, unspecified","260-264.99","Both",1,0,"endocrine/metabolic",3
"269","Proteinuria","269-270.99","Both",1,0,"endocrine/metabolic",3
"270","Disorders of protein plasma/amino-acid transport and metabolism","269-270.99","",1,0,"endocrine/metabolic",3
"270.1","Disturbances of amino-acid transport","269-270.99","Both",1,1,"endocrine/metabolic",3
"270.11","Disturbances of sulphur-bearing amino-acid metabolism","269-270.99","Both",1,1,"endocrine/metabolic",3
"270.12","Phenylketonuria [PKU]","269-270.99","Both",1,0,"endocrine/metabolic",3
"270.2","Disorders of amino-acid metabolism","269-270.99","Both",1,1,"endocrine/metabolic",3
"270.21","Disorders of urea cycle metabolism","269-270.99","Both",1,0,"endocrine/metabolic",3
"270.3","Disorders of plasma protein metabolism","269-270.99","Both",1,1,"endocrine/metabolic",3
